Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG02410	4.8375	0.8822
HG02419	1.7188	0.5032
HG02420	5.7362	0.9141
HG02425	8.8791	0.9665
HG02427	0.9882	0.2105
HG02429	1.2457	0.3355
HG02433	0.6236	0.0395
HG02439	0.7391	0.0815
HG02442	0.9876	0.2093
HG02445	2.0857	0.5946
HG02449	0.8157	0.1174
HG02450	2.786	0.7173
HG02455	3.7686	0.8223
HG02461	6.4411	0.9357
HG02462	1.8825	0.5471
HG02464	1.1491	0.2919
HG02465	0.9904	0.2121
HG02470	1.3204	0.365
HG02471	1.0447	0.2424
HG02476	2.0903	0.5954
HG02477	0.4806	0.0048
HG02479	0.3459	4e-04
HG02481	0.588	0.0268
HG02484	0.855	0.1442
HG02485	0.9453	0.1913
HG02489	0.5802	0.0212
HG02490	3.0673	0.7552
HG02491	3.6777	0.8175
HG02493	3.0168	0.7472
HG02494	0.6271	0.0415
HG02496	1.0589	0.248
HG02497	1.7237	0.506
HG02501	0.9638	0.1989
HG02502	6.5969	0.9377
HG02505	2.0265	0.5799
HG02508	1.4557	0.4189
HG02511	0.6067	0.0304
HG02512	2.7036	0.7033
HG02513	0.9586	0.1965
HG02521	2.977	0.7404
HG02522	5.6271	0.9117
HG02536	1.3611	0.3786
HG02537	1.1973	0.3127
HG02541	0.8661	0.1518
HG02545	3.0716	0.756
HG02546	3.0447	0.752
HG02549	1.6159	0.4696
HG02554	0.9951	0.2149
HG02555	1.0229	0.2304
HG02557	2.8594	0.7272
HG02558	0.7435	0.0827
HG02561	1.1584	0.2967
HG02562	0.7321	0.0783
HG02568	2.8417	0.7252
HG02570	2.3446	0.651
HG02571	0.7113	0.0659
HG02573	1.9173	0.5555
HG02574	2.5183	0.6797
HG02577	1.1345	0.2863
HG02580	1.4252	0.4093
HG02582	3.0162	0.7468
HG02583	1.0162	0.226
HG02585	0.8951	0.1677
HG02586	0.8677	0.153
HG02588	0.8379	0.1322
HG02589	0.8364	0.1302
HG02594	1.6002	0.4657
HG02595	1.1154	0.2756
HG02597	2.7588	0.7125
HG02600	5.9936	0.9233
HG02601	13.6454	0.9896
HG02603	0.831	0.1266
HG02604	2.22	0.6202
HG02610	2.0769	0.5915
HG02611	0.9975	0.2161
HG02613	1.5876	0.4629
HG02614	1.0253	0.2328
HG02620	3.4223	0.7979
HG02621	3.041	0.7508
HG02623	0.8295	0.1258
HG02624	0.7185	0.0719
HG02628	0.8845	0.1629
HG02629	1.4591	0.4197
HG02634	1.3181	0.3622
HG02635	1.8013	0.528
HG02642	1.028	0.2344
HG02643	1.164	0.2991
HG02645	1.0755	0.2536
HG02646	1.5572	0.4541
HG02648	1.0932	0.2648
HG02649	4.5594	0.869
HG02651	1.043	0.2404
HG02652	1.4506	0.4169
HG02654	3.271	0.7851
HG02655	6.3943	0.9345
HG02657	4.227	0.8482
HG02658	0.7628	0.0915
HG02660	2.195	0.6146
HG02661	2.2398	0.6226
HG02666	1.7022	0.4964
HG02667	1.1074	0.2712
HG02675	0.8456	0.1358
HG02676	1.0166	0.2264
HG02678	0.771	0.0958
HG02679	0.6588	0.0503
HG02681	1.5049	0.4365
HG02682	1.1571	0.2955
HG02684	2.2621	0.6286
HG02685	3.0307	0.7492
HG02687	0.8324	0.127
HG02688	2.9648	0.7392
HG02690	0.7284	0.0759
HG02691	1.4487	0.4157
HG02694	4.4616	0.8618
HG02696	1.1519	0.2935
HG02697	1.7255	0.5064
HG02699	5.2305	0.8966
HG02700	2.5214	0.6805
HG02702	1.4605	0.4201
HG02703	0.9619	0.1981
HG02715	2.8826	0.7312
HG02716	3.5297	0.8059
HG02721	0.8806	0.1601
HG02722	1.0847	0.2608
HG02724	1.1954	0.3123
HG02725	11.1451	0.9808
HG02727	1.2614	0.3399
HG02728	1.6952	0.4944
HG02731	1.2234	0.3255
HG02733	4.4794	0.863
HG02734	3.1661	0.7696
HG02736	4.8472	0.8826
HG02737	0.9741	0.2017
HG02756	1.1799	0.3047
HG02757	3.0222	0.748
HG02759	1.5944	0.4645
HG02760	1.2327	0.3283
HG02763	0.9256	0.1805
HG02768	1.493	0.4317
HG02769	0.9061	0.1729
HG02771	0.5623	0.0168
HG02772	1.3771	0.3854
HG02774	2.2885	0.635
HG02775	2.8657	0.7284
HG02778	1.2054	0.3155
HG02780	2.911	0.7352
HG02783	4.7736	0.8794
HG02784	1.081	0.2564
HG02786	0.9371	0.1869
HG02787	2.6945	0.7025
HG02789	1.3587	0.3778
HG02790	1.271	0.3435
HG02792	0.4671	0.0036
HG02793	1.306	0.3554
HG02798	0.9267	0.1813
HG02799	0.8913	0.1665
HG02804	1.1415	0.2887
HG02805	0.9464	0.1925
HG02807	3.0606	0.7548
HG02808	0.6467	0.0467
HG02810	1.8338	0.5339
HG02811	1.3547	0.377
HG02813	0.8407	0.1334
HG02814	1.3292	0.3682
HG02816	1.1188	0.2776
HG02817	0.564	0.0172
HG02819	0.861	0.1478
HG02820	0.5899	0.0272
HG02836	1.6133	0.4681
HG02837	1.2788	0.3462
HG02839	0.9079	0.1753
HG02840	0.8145	0.1166
HG02851	1.1213	0.2792
HG02852	1.7467	0.5136
HG02854	2.3361	0.6482
HG02855	2.7237	0.7073
HG02860	2.4237	0.6625
HG02861	1.0441	0.242
HG02870	2.212	0.6178
HG02878	3.6255	0.8135
HG02879	6.0147	0.9241
HG02881	0.5812	0.0224
HG02882	0.6521	0.0491
HG02884	1.0577	0.2476
HG02885	3.3464	0.7915
HG02887	0.5832	0.0244
HG02888	0.7357	0.0807
HG02890	1.0493	0.2428
HG02891	0.8547	0.1438
HG02895	1.83	0.5331
HG02896	0.5826	0.0232
HG02922	0.8842	0.1625
HG02923	1.0126	0.2228
HG02938	0.8174	0.1182
HG02941	0.5251	0.0104
HG02943	2.8594	0.7272
HG02944	2.5043	0.6773
HG02946	1.5624	0.4557
HG02947	2.0423	0.5839
HG02952	0.796	0.1074
HG02953	0.7913	0.1046
HG02968	2.2522	0.6254
HG02970	2.0544	0.5867
HG02971	4.3466	0.855
HG02973	2.7207	0.7065
HG02974	0.7958	0.1062
HG02976	0.6353	0.0439
HG02977	1.2726	0.3446
HG02979	0.7691	0.095
HG02981	0.9912	0.2129
HG02982	0.6609	0.0515
HG02983	0.5437	0.0136
HG03006	0.8497	0.1398
HG03007	1.129	0.2827
HG03009	1.1184	0.2772
HG03012	2.1887	0.613
HG03015	2.3002	0.639
HG03016	0.7498	0.0851
HG03018	1.0078	0.2212
HG03019	1.3168	0.3614
HG03021	2.6818	0.7021
HG03022	5.0395	0.8914
HG03024	0.5922	0.028
HG03025	1.0838	0.26
HG03027	1.0091	0.2224
HG03028	1.6718	0.4884
HG03039	0.9387	0.1877
HG03040	0.9251	0.1801
HG03045	2.3793	0.6569
HG03046	2.9772	0.7408
HG03048	1.0041	0.22
HG03049	2.1832	0.6106
HG03052	1.075	0.2528
HG03054	0.9907	0.2125
HG03055	0.6321	0.0423
HG03057	1.7621	0.5176
HG03058	0.8887	0.1637
HG03060	2.6631	0.6985
HG03061	0.9486	0.1937
HG03063	2.2725	0.6314
HG03064	1.4048	0.3982
HG03066	2.098	0.5962
HG03069	0.787	0.103
HG03072	1.6643	0.4852
HG03073	1.767	0.5184
HG03074	0.8789	0.1589
HG03077	0.6166	0.0351
HG03078	1.8058	0.5284
HG03079	1.4651	0.4217
HG03081	2.168	0.6082
HG03082	0.5449	0.0144
HG03084	1.4174	0.4042
HG03085	1.1945	0.3115
HG03086	0.6249	0.0407
HG03088	5.7632	0.9149
HG03091	1.1671	0.2999
HG03095	1.2066	0.3167
HG03096	1.7112	0.4996
HG03097	1.2344	0.3291
HG03099	0.858	0.1462
HG03100	1.9731	0.5687
HG03103	1.1276	0.2815
HG03105	2.0774	0.5923
HG03108	1.7414	0.5128
HG03109	1.7194	0.504
HG03111	2.353	0.6526
HG03112	0.7956	0.1058
HG03114	0.7834	0.1002
HG03115	4.2776	0.8514
HG03117	0.8466	0.137
HG03118	1.0329	0.2364
HG03120	1.214	0.3223
HG03121	1.0893	0.2628
HG03123	1.2423	0.3335
HG03124	1.7736	0.522
HG03126	1.2374	0.3303
HG03127	0.6093	0.0312
HG03129	1.0656	0.25
HG03130	2.3138	0.6422
HG03132	4.515	0.8658
HG03133	5.0083	0.8898
HG03135	1.5389	0.4481
HG03136	1.74	0.5124
HG03139	1.1934	0.3111
HG03157	1.2134	0.3219
HG03159	1.0959	0.2656
HG03160	0.7769	0.0974
HG03162	0.7686	0.0938
HG03163	1.9703	0.5671
HG03166	0.5568	0.0164
HG03168	2.2739	0.6318
HG03169	1.813	0.5308
HG03172	0.7657	0.0931
HG03175	2.4709	0.6729
HG03189	0.9555	0.1957
HG03190	1.1355	0.2867
HG03193	1.1945	0.3115
HG03195	1.2084	0.3179
HG03196	1.283	0.3482
HG03198	1.0712	0.2508
HG03199	2.7387	0.7097
HG03202	1.0955	0.2652
HG03209	1.7579	0.5156
HG03212	2.3558	0.6542
HG03224	0.5031	0.0072
HG03225	0.69	0.0595
HG03228	1.4175	0.4046
HG03229	2.8411	0.7248
HG03234	3.9642	0.8351
HG03235	3.2201	0.7772
HG03237	1.3826	0.3886
HG03238	2.1819	0.6102
HG03240	1.3299	0.3694
HG03241	1.2254	0.3267
HG03246	2.8599	0.728
HG03247	3.2628	0.7835
HG03258	1.5232	0.4441
HG03259	1.2487	0.3359
HG03265	1.0826	0.2584
HG03267	2.6693	0.6997
HG03268	1.0213	0.2296
HG03270	1.8895	0.5491
HG03271	1.5664	0.4577
HG03279	1.9697	0.5667
HG03280	0.6482	0.0475
HG03291	1.2209	0.3247
HG03294	1.6135	0.4685
HG03295	1.3295	0.3686
HG03297	1.4874	0.4301
HG03298	1.0135	0.2248
HG03300	1.1275	0.2812
HG03301	0.8996	0.1693
HG03303	2.308	0.6402
HG03304	0.9035	0.1713
HG03311	1.0375	0.2384
HG03313	0.7323	0.0787
HG03342	1.2906	0.3498
HG03343	1.4501	0.4165
HG03351	1.5144	0.4409
HG03352	1.3262	0.3662
HG03354	0.8429	0.1354
HG03363	0.7919	0.105
HG03366	0.6991	0.0615
HG03367	1.7205	0.5052
HG03369	1.7602	0.5168
HG03370	1.1341	0.2855
HG03372	0.6525	0.0495
HG03376	1.2635	0.3403
HG03378	0.5437	0.0136
HG03380	1.219	0.3235
HG03382	0.8483	0.1386
HG03385	1.1304	0.2839
HG03388	1.0522	0.2452
HG03391	5.4032	0.9026
HG03394	0.9047	0.1721
HG03397	2.4722	0.6737
HG03401	0.8024	0.1114
HG03410	0.7178	0.0715
HG03419	0.572	0.0192
HG03428	0.8781	0.1585
HG03432	0.7958	0.1062
HG03433	0.8777	0.1581
HG03436	0.8835	0.1617
HG03437	1.1761	0.3027
HG03439	1.004	0.2196
HG03442	0.6896	0.0591
HG03445	1.013	0.2232
HG03446	1.0133	0.224
HG03449	0.5792	0.0204
HG03451	3.0398	0.7504
HG03452	1.0563	0.2472
HG03455	0.8186	0.1194
HG03457	0.8379	0.1322
HG03458	4.8365	0.8818
HG03460	0.784	0.101
HG03461	0.8544	0.1434
HG03464	1.9796	0.5707
HG03469	1.1143	0.2752
HG03470	1.3829	0.389
HG03472	0.5136	0.0088
HG03473	3.0241	0.7484
HG03476	0.5468	0.0152
HG03478	0.5291	0.0112
HG03479	0.7305	0.0775
HG03484	1.3272	0.3666
HG03485	0.6832	0.0575
HG03488	0.8817	0.1609
HG03490	0.858	0.1462
HG03491	0.7953	0.1054
HG03499	1.6258	0.4736
HG03511	2.1417	0.6046
HG03514	0.9154	0.1785
HG03515	1.1575	0.2959
HG03517	0.5823	0.0228
HG03518	1.3202	0.3642
HG03520	1.6557	0.482
HG03521	2.0111	0.5763
HG03538	3.1286	0.7664
HG03539	1.0749	0.2524
HG03547	1.0812	0.2568
HG03548	1.3356	0.3714
HG03556	0.9822	0.2065
HG03557	0.6243	0.0403
HG03558	0.9557	0.1961
HG03559	1.6106	0.4673
HG03563	2.43	0.6653
HG03565	0.5422	0.0132
HG03567	2.0251	0.5795
HG03571	0.7325	0.0791
HG03572	1.6448	0.4788
HG03575	0.8915	0.1669
HG03577	1.957	0.5639
HG03578	0.861	0.1478
HG03583	0.6377	0.0447
HG03585	1.2283	0.3271
HG03589	2.5204	0.6801
HG03593	5.0627	0.8934
HG03594	1.6177	0.4708
HG03595	0.7494	0.0847
HG03598	1.1487	0.2915
HG03600	5.112	0.8942
HG03603	2.1312	0.6022
HG03604	0.419	0.002
HG03607	1.0929	0.2644
HG03611	0.5968	0.0292
HG03615	1.5192	0.4417
HG03616	5.2793	0.8978
HG03619	1.3782	0.3866
HG03624	0.6104	0.0319
HG03625	1.4706	0.4241
HG03629	0.7651	0.0927
HG03631	2.7226	0.7069
HG03634	1.4415	0.4133
HG03636	1.8176	0.5315
HG03640	0.7959	0.107
HG03642	1.4058	0.3998
HG03643	4.0984	0.8415
HG03644	0.8357	0.1294
HG03645	1.4042	0.3974
HG03646	1.2115	0.3211
HG03649	1.308	0.3562
HG03652	1.4585	0.4193
HG03653	1.0557	0.2464
HG03660	2.1856	0.6114
HG03663	0.9754	0.2025
HG03667	1.4248	0.4085
HG03668	0.617	0.0359
HG03672	3.6281	0.8143
HG03673	0.7962	0.1082
HG03679	1.9729	0.5683
HG03680	1.8735	0.5439
HG03681	1.6596	0.4836
HG03684	2.3455	0.6518
HG03685	3.6554	0.8171
HG03686	1.157	0.2951
HG03687	2.2322	0.6218
HG03689	3.7188	0.8191
HG03690	0.8527	0.1414
HG03691	1.8638	0.5411
HG03692	2.593	0.6889
HG03693	1.5642	0.4565
HG03694	2.8534	0.7264
HG03695	0.7177	0.0711
HG03696	0.6378	0.0451
HG03697	1.0028	0.2188
HG03698	0.9456	0.1917
HG03702	1.9834	0.5719
HG03703	2.8861	0.732
HG03705	1.4786	0.4265
HG03706	1.3159	0.3606
HG03708	0.9062	0.1733
HG03709	7.7238	0.9533
HG03711	5.8375	0.9185
HG03713	1.0233	0.2312
HG03714	2.7613	0.7133
HG03716	2.083	0.5935
HG03717	0.9014	0.1705
HG03718	2.0377	0.5819
HG03720	1.1521	0.2939
HG03722	14.3608	0.9912
HG03727	0.7048	0.0635
HG03729	1.2499	0.3367
HG03730	3.0781	0.758
HG03731	0.9137	0.1773
HG03733	0.6498	0.0479
HG03736	0.828	0.1246
HG03738	1.5613	0.4553
HG03740	0.8704	0.155
HG03741	7.9669	0.9577
HG03742	2.3563	0.655
HG03743	1.4844	0.4285
HG03744	1.5077	0.4381
HG03745	1.0424	0.2396
HG03746	4.5204	0.8662
HG03750	1.6874	0.4928
HG03752	2.318	0.643
HG03753	1.477	0.4257
HG03754	1.6713	0.488
HG03755	1.1484	0.2911
HG03756	1.1448	0.2899
HG03757	1.5207	0.4425
HG03760	3.7671	0.8215
HG03762	4.6548	0.8726
HG03765	1.0822	0.2576
HG03767	2.0772	0.5919
HG03770	2.5708	0.6865
HG03771	1.0819	0.2572
HG03772	5.806	0.9165
HG03773	2.0583	0.5883
HG03774	1.4427	0.4137
HG03775	1.9527	0.5627
HG03777	6.4077	0.9353
HG03778	0.6166	0.0351
HG03779	0.8516	0.141
HG03780	0.7176	0.0707
HG03781	3.1031	0.7612
HG03782	1.7841	0.524
HG03784	3.221	0.7776
HG03785	1.1362	0.2871
HG03786	2.0216	0.5787
HG03787	2.3743	0.6565
HG03788	1.455	0.4181
HG03789	0.8902	0.1645
HG03790	4.3206	0.8538
HG03792	1.5442	0.4489
HG03793	2.055	0.5875
HG03796	2.8126	0.7224
HG03800	3.2443	0.7812
HG03802	2.3268	0.645
HG03803	2.0588	0.5887
HG03805	1.9662	0.5663
HG03808	6.2407	0.9313
HG03809	3.1595	0.7688
HG03812	1.4052	0.3986
HG03814	3.5005	0.8043
HG03815	1.411	0.4018
HG03817	3.8702	0.8283
HG03821	1.6149	0.4688
HG03823	2.0511	0.5863
HG03824	2.2457	0.625
HG03826	6.8428	0.9417
HG03829	3.2259	0.7784
HG03830	1.8071	0.5288
HG03832	14.0399	0.9904
HG03833	0.6991	0.0615
HG03836	1.4832	0.4277
HG03837	1.3275	0.3674
HG03838	0.912	0.1765
HG03844	1.8338	0.5339
HG03846	1.958	0.5647
HG03848	1.4611	0.4205
HG03849	0.8373	0.1314
HG03850	2.1268	0.6002
HG03851	1.0425	0.24
HG03854	6.0727	0.9257
HG03856	4.8307	0.8814
HG03857	1.8537	0.5399
HG03858	4.1363	0.8438
HG03861	9.2147	0.9688
HG03862	0.6733	0.0543
HG03863	2.5457	0.6833
HG03864	0.4893	0.006
HG03866	1.8103	0.53
HG03867	1.7334	0.51
HG03868	1.0438	0.2416
HG03869	2.2544	0.6266
HG03870	1.7061	0.4984
HG03871	0.9644	0.1993
HG03872	1.3352	0.371
HG03873	0.4442	0.0028
HG03874	1.4145	0.403
HG03875	5.8183	0.9173
HG03882	2.014	0.5779
HG03884	2.0462	0.5851
HG03885	1.6104	0.4669
HG03886	6.4889	0.9369
HG03887	1.4977	0.4329
HG03888	2.037	0.5815
HG03890	1.8076	0.5292
HG03894	0.5874	0.026
HG03895	0.6579	0.0499
HG03896	1.8534	0.5391
HG03897	1.2032	0.3139
HG03898	0.7564	0.0875
HG03899	1.1679	0.3003
HG03900	1.4249	0.4089
HG03902	3.9052	0.8315
HG03905	1.4228	0.4077
HG03907	0.8909	0.1661
HG03908	2.1994	0.6154
HG03910	1.1125	0.274
HG03911	2.2716	0.631
HG03913	4.0955	0.8411
HG03914	9.9096	0.9732
HG03916	4.3627	0.8558
HG03917	3.0496	0.7536
HG03919	2.1749	0.6086
HG03920	0.8574	0.1454
HG03922	0.9832	0.2069
HG03925	1.3189	0.363
HG03926	2.8797	0.7308
HG03928	1.2111	0.3203
HG03931	1.0433	0.2412
HG03934	1.8534	0.5391
HG03937	3.5751	0.8099
HG03940	1.1453	0.2903
HG03941	2.1096	0.5974
HG03943	1.6641	0.4848
HG03944	4.037	0.8367
HG03945	0.8603	0.1474
HG03947	3.0198	0.7476
HG03949	1.8473	0.5383
HG03950	2.7699	0.7149
HG03951	2.354	0.653
HG03953	2.0676	0.5903
HG03955	0.8726	0.1562
HG03960	5.4336	0.9038
HG03963	0.9436	0.1905
HG03965	2.4157	0.6609
HG03967	5.0571	0.893
HG03968	1.2234	0.3255
HG03969	2.4606	0.6713
HG03971	0.5369	0.0124
HG03973	1.3642	0.3794
HG03974	5.7592	0.9145
HG03976	1.5457	0.4501
HG03977	0.5224	0.01
HG03978	1.7182	0.5028
HG03985	2.6642	0.6989
HG03986	3.5851	0.8107
HG03989	1.1927	0.3103
HG03990	1.6302	0.4748
HG03991	2.2369	0.6222
HG03995	2.4174	0.6613
HG03998	0.7475	0.0843
HG03999	0.8232	0.1218
HG04001	0.7776	0.0986
HG04002	1.2807	0.3466
HG04003	1.3918	0.3914
HG04006	2.2187	0.6198
HG04014	1.5936	0.4641
HG04015	1.7598	0.5164
HG04017	1.7727	0.5216
HG04018	2.271	0.6306
HG04019	1.2231	0.3251
HG04020	1.6159	0.4696
HG04022	1.1215	0.2796
HG04023	2.7104	0.7045
HG04025	3.6035	0.8115
HG04026	3.8993	0.8307
HG04029	1.2185	0.3227
HG04033	3.7675	0.8219
HG04035	0.7758	0.097
HG04038	1.8908	0.5503
HG04039	2.4327	0.6665
HG04042	2.7654	0.7141
HG04047	2.4346	0.6669
HG04054	1.3155	0.3602
HG04056	0.6938	0.0599
HG04059	0.6204	0.0371
HG04060	3.1243	0.7656
HG04061	1.2885	0.3494
HG04062	1.6195	0.4712
HG04063	2.6261	0.6945
HG04070	2.9341	0.7376
HG04075	1.1115	0.2732
HG04076	1.9244	0.5583
HG04080	2.3378	0.6486
HG04090	10.7124	0.9792
HG04093	1.2202	0.3243
HG04094	0.7964	0.1086
HG04096	0.9082	0.1757
HG04098	1.0257	0.2336
HG04099	1.2524	0.3375
HG04100	2.0047	0.5759
HG04106	0.6399	0.0459
HG04107	1.2815	0.3474
HG04118	5.9139	0.9217
HG04131	2.6337	0.6957
HG04134	3.1699	0.7712
HG04140	1.2425	0.3339
HG04141	2.4254	0.6633
HG04144	1.8906	0.5499
HG04146	3.8126	0.8247
HG04152	3.2172	0.7768
HG04153	2.2947	0.6366
HG04155	1.4384	0.4125
HG04156	1.3851	0.3902
HG04158	1.5535	0.4533
HG04159	2.27	0.6302
HG04161	1.866	0.5415
HG04162	0.9031	0.1709
HG04164	1.5267	0.4445
HG04171	2.547	0.6841
HG04173	0.9345	0.1857
HG04176	1.7308	0.5084
HG04177	2.0813	0.5931
HG04180	0.9294	0.1825
HG04182	2.1062	0.597
HG04183	2.2782	0.6326
HG04185	4.2161	0.8478
HG04186	1.4717	0.4245
HG04188	1.7918	0.5256
HG04189	2.5736	0.6869
HG04194	5.2672	0.8974
HG04195	0.6283	0.0419
HG04198	1.1622	0.2979
HG04200	1.8116	0.5304
HG04202	2.5023	0.6765
HG04206	8.051	0.9589
HG04209	0.8305	0.1262
HG04210	1.2412	0.3323
HG04211	1.5074	0.4377
HG04212	0.3976	0.0012
HG04214	1.3499	0.3754
HG04216	1.0404	0.2392
HG04219	1.7355	0.5112
HG04222	6.589	0.9373
HG04225	2.7594	0.7129
HG04227	1.5044	0.4357
HG04229	1.186	0.3067
HG04235	1.8769	0.5455
HG04238	1.205	0.3151
HG04239	1.1721	0.3015
NA06984	3.8474	0.8267
NA06985	2.5128	0.6793
NA06986	1.955	0.5635
NA06989	1.2409	0.3319
NA06994	1.0507	0.244
NA07000	1.9037	0.5539
NA07037	1.2443	0.3347
NA07048	2.7286	0.7081
NA07051	2.328	0.6454
NA07056	1.7177	0.5024
NA07347	0.9838	0.2073
NA07357	1.3974	0.3954
NA10847	1.1096	0.272
NA10851	0.8058	0.1126
NA11829	0.9421	0.1889
NA11830	1.083	0.2588
NA11831	0.6116	0.0331
NA11832	2.1874	0.6122
NA11840	10.2328	0.9748
NA11843	1.7145	0.5
NA11881	2.0728	0.5907
NA11892	1.6256	0.4732
NA11893	2.4283	0.6649
NA11894	4.575	0.8698
NA11918	1.083	0.2588
NA11919	1.9459	0.5615
NA11920	1.4999	0.4341
NA11930	0.901	0.1697
NA11931	1.1035	0.2688
NA11932	1.1295	0.2831
NA11933	1.3968	0.3942
NA11992	1.1818	0.3059
NA11994	0.9521	0.1949
NA11995	1.1632	0.2983
NA12003	0.7558	0.0867
NA12004	1.1991	0.3131
NA12005	1.9578	0.5643
NA12006	1.9211	0.5567
NA12043	1.6586	0.4832
NA12044	0.642	0.0463
NA12045	1.9377	0.5595
NA12046	1.331	0.3698
NA12058	0.8179	0.1186
NA12144	2.2235	0.6206
NA12154	0.9545	0.1953
NA12155	0.8469	0.1378
NA12156	1.2018	0.3135
NA12234	0.996	0.2153
NA12249	1.66	0.484
NA12272	1.4661	0.4221
NA12273	1.3573	0.3774
NA12275	1.905	0.5543
NA12282	0.9126	0.1769
NA12283	0.6107	0.0327
NA12286	3.9087	0.8319
NA12287	1.1379	0.2875
NA12340	0.5744	0.0196
NA12341	1.4196	0.4062
NA12342	0.6389	0.0455
NA12347	5.8008	0.9157
NA12348	0.9141	0.1777
NA12383	2.2922	0.6354
NA12399	2.2968	0.6374
NA12400	5.4953	0.9069
NA12413	1.2851	0.3486
NA12414	1.0255	0.2332
NA12489	1.0857	0.2612
NA12546	0.7641	0.0923
NA12716	3.4963	0.8035
NA12717	1.7725	0.5212
NA12718	1.8256	0.5323
NA12748	3.1667	0.77
NA12749	1.9027	0.5535
NA12750	1.5589	0.4545
NA12751	1.0861	0.2616
NA12760	1.3965	0.3934
NA12761	1.075	0.2528
NA12762	1.2422	0.3331
NA12763	1.7674	0.5188
NA12775	2.3245	0.6434
NA12776	0.9872	0.2089
NA12777	1.2103	0.3187
NA12778	2.994	0.7436
NA12812	2.3261	0.6442
NA12813	2.032	0.5803
NA12814	1.5197	0.4421
NA12815	2.5982	0.6909
NA12827	2.386	0.6581
NA12828	7.7268	0.9537
NA12829	3.888	0.8299
NA12830	1.3694	0.3818
NA12842	3.3632	0.7935
NA12843	1.3164	0.361
NA12872	2.7519	0.7113
NA12873	1.505	0.4369
NA12874	5.5395	0.9081
NA12878	0.593	0.0284
NA12889	2.4278	0.6645
NA12890	2.9058	0.734
NA18486	1.2061	0.3163
NA18488	0.6222	0.0387
NA18489	1.2783	0.3454
NA18498	1.7374	0.512
NA18499	2.1872	0.6118
NA18501	1.2998	0.353
NA18502	0.5877	0.0264
NA18504	1.6322	0.4756
NA18505	1.2387	0.3315
NA18507	1.6402	0.478
NA18508	3.174	0.7724
NA18510	1.3198	0.3638
NA18511	0.6874	0.0583
NA18516	0.8699	0.1542
NA18517	1.2383	0.3311
NA18519	0.972	0.2005
NA18520	0.8116	0.1154
NA18522	0.9594	0.1969
NA18523	2.3261	0.6442
NA18525	2.1359	0.603
NA18526	7.7765	0.9549
NA18528	2.6674	0.6993
NA18530	0.7156	0.0687
NA18531	1.2636	0.3411
NA18532	1.4434	0.4141
NA18533	5.0896	0.8938
NA18534	1.3097	0.357
NA18535	2.2076	0.6174
NA18536	14.807	0.9928
NA18537	1.5749	0.4613
NA18538	1.5104	0.4397
NA18539	4.5608	0.8694
NA18541	1.0251	0.2324
NA18542	2.2785	0.633
NA18543	3.5748	0.8095
NA18544	4.0459	0.8375
NA18545	6.8881	0.9425
NA18546	3.1877	0.7736
NA18547	3.7099	0.8183
NA18548	5.3228	0.899
NA18549	0.933	0.1849
NA18550	1.5267	0.4445
NA18552	9.7943	0.972
NA18553	2.7137	0.7049
NA18555	15.0143	0.994
NA18557	23.8957	0.9984
NA18558	1.2437	0.3343
NA18559	4.633	0.8714
NA18560	5.9382	0.9225
NA18561	2.4645	0.6721
NA18562	2.1274	0.6006
NA18563	1.6495	0.4808
NA18564	2.3798	0.6577
NA18565	10.2666	0.9756
NA18566	2.6501	0.6981
NA18567	0.9074	0.1741
NA18570	2.3394	0.6494
NA18571	3.7207	0.8195
NA18572	2.2524	0.6258
NA18573	4.4331	0.8598
NA18574	2.624	0.6937
NA18577	5.584	0.9097
NA18579	2.8468	0.7256
NA18582	0.6501	0.0487
NA18591	3.4914	0.8031
NA18592	2.201	0.6158
NA18593	4.8988	0.8854
NA18595	10.2666	0.9756
NA18596	7.605	0.9521
NA18597	0.9404	0.1881
NA18599	3.5591	0.8083
NA18602	1.8718	0.5431
NA18603	2.3411	0.6502
NA18605	11.7965	0.9832
NA18606	0.5355	0.012
NA18608	6.745	0.9401
NA18609	2.1378	0.6042
NA18610	2.0598	0.5891
NA18611	1.1601	0.2975
NA18612	0.4731	0.004
NA18613	3.7592	0.8211
NA18614	1.3942	0.3922
NA18615	3.7487	0.8203
NA18616	1.6991	0.496
NA18617	30.0001	0.9996
NA18618	1.4838	0.4281
NA18619	1.9907	0.5727
NA18620	2.6759	0.7005
NA18621	2.3378	0.6486
NA18622	9.6523	0.9708
NA18623	3.5534	0.8075
NA18624	1.6718	0.4884
NA18625	4.5481	0.8682
NA18626	2.5467	0.6837
NA18627	7.7586	0.9541
NA18628	1.0156	0.2252
NA18629	1.1209	0.2788
NA18630	2.8474	0.726
NA18631	15.082	0.9944
NA18632	1.447	0.4149
NA18633	1.0285	0.2348
NA18634	3.1484	0.768
NA18635	2.7503	0.7109
NA18636	2.4603	0.6709
NA18637	2.6047	0.6917
NA18638	1.923	0.5575
NA18639	4.8491	0.883
NA18640	0.6215	0.0379
NA18641	0.9765	0.2033
NA18642	4.8744	0.8842
NA18643	3.6353	0.8155
NA18644	7.3163	0.9477
NA18645	3.5173	0.8055
NA18646	1.5759	0.4617
NA18647	16.4924	0.9964
NA18648	1.2376	0.3307
NA18740	3.0799	0.7584
NA18745	5.4844	0.9062
NA18747	1.1883	0.3083
NA18748	1.4893	0.4313
NA18749	2.4432	0.6693
