Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG00479	7.4678	0.9497
HG00500	0.8137	0.1162
HG00513	1.4665	0.4229
HG00524	3.105	0.7616
HG00525	5.3838	0.9018
HG00530	2.4232	0.6621
HG00531	2.6783	0.7013
HG00533	10.3057	0.9764
HG00534	2.0121	0.5767
HG00536	6.9081	0.9429
HG00537	2.9212	0.736
HG00542	3.0426	0.7516
HG00543	5.3709	0.9014
HG00551	1.3756	0.3846
HG00553	4.7712	0.879
HG00554	0.8198	0.1206
HG00556	2.5862	0.6885
HG00557	2.7445	0.7105
HG00559	1.986	0.5723
HG00560	2.9026	0.7336
HG00565	5.8932	0.9205
HG00566	2.4618	0.6717
HG00580	1.4159	0.4038
HG00581	5.508	0.9077
HG00583	0.9195	0.1789
HG00584	4.4039	0.857
HG00589	3.6386	0.8159
HG00590	8.1165	0.9601
HG00592	2.5115	0.6789
HG00593	2.9467	0.738
HG00595	2.87	0.7288
HG00596	0.5845	0.0252
HG00598	4.1504	0.8446
HG00599	3.0096	0.7456
HG00607	1.9589	0.5651
HG00608	1.6695	0.4872
HG00610	4.4518	0.8606
HG00611	4.2926	0.853
HG00613	2.3893	0.6589
HG00614	4.5317	0.867
HG00619	6.0382	0.9249
HG00620	3.0953	0.76
HG00622	1.05	0.2436
HG00623	7.2616	0.9473
HG00625	7.8806	0.9569
HG00626	9.6514	0.9704
HG00628	5.858	0.9193
HG00629	3.1989	0.7748
HG00631	4.3545	0.8554
HG00632	0.7972	0.109
HG00634	0.7602	0.0899
HG00637	2.2052	0.617
HG00638	2.4312	0.6657
HG00640	0.8334	0.1278
HG00641	11.2661	0.9816
HG00650	4.8622	0.8834
HG00651	4.5353	0.8678
HG00653	1.3418	0.3742
HG00654	1.0768	0.2544
HG00656	3.4277	0.7987
HG00657	4.2871	0.8522
HG00662	11.6697	0.9824
HG00663	4.0923	0.8407
HG00671	5.6345	0.9121
HG00672	1.1749	0.3023
HG00674	1.631	0.4752
HG00675	6.0763	0.9261
HG00683	1.7148	0.5008
HG00684	4.6763	0.8742
HG00689	3.8888	0.8303
HG00690	1.6294	0.4744
HG00692	0.6796	0.0567
HG00693	3.2547	0.7827
HG00698	5.6508	0.9133
HG00699	3.8126	0.8247
HG00701	5.5019	0.9073
HG00704	4.9654	0.8878
HG00705	4.2148	0.8474
HG00707	2.1913	0.6138
HG00708	4.2682	0.851
HG00717	2.0844	0.5942
HG00728	4.3978	0.8562
HG00729	8.4267	0.9641
HG00731	2.6159	0.6929
HG00732	2.2576	0.6274
HG00734	0.6715	0.0531
HG00736	2.2551	0.627
HG00737	1.8752	0.5451
HG00739	1.372	0.383
